#{"t_start": 1767541112.093963, "env_id": "None"}
r,l,t
-11.502429,10,0.597658
-15.069889,6,0.681072
3.525325,22,1.137169
-17.241416,4,1.212227
-14.590341,6,1.328438
-20.0,1,1.35279-13-14.307873,7,1.490496
-5.652267,14,1.605738
-11.328911,9,1.784143
-11.045688,9,1.970267
-15.543468,5,2.073744
-17.603954,4,2.163703
-16.300305,5,2.266917
-17.368372,4,2.353119
-17.965164,3,2.413439
-20.0,1,2.437079
-20.0,1,2.45854
-16.978016,5,2.564493
-20.0,1,2.58488
-12.685037,8,2.738854
-15.524578,65.109336,22-17.276255,-18.05293,3,-15.383379,6,3.061986
-20.0,1,3.087338
-20.0,1,3-12.338793,9,3.26713
-14.006016,7,3.413055
-14.923827,6,3.53828
-17.002958,4,3.624025
-20.0,1,3.647422
-11.328957,10,3.868592
-14.325603,7,4.007092
-17.500501,4,4.093433
-16.68912,5,4.19652
-15.27452,6,4.319639
-17.327838,4,4.402327
-20.0,1,4.425487
-20.0,1,4.446423
-20.0,1,4.467232
-15.59194,5,4.575297
-20.0-14.180896,7,4.675737
-14.866827,7,4.816087
-15.456307,6,4.949702
-17.692101,4,5.029449
-14.029-3.846917,20,5.324174
-20.0,1,5.348418-1-17.353019,4,5.42776-18-17.256497,4,5.51023-17-17.329362,4,5.59728-16.201415,5,5.622349-2-11.006735,10,5.800921
-13.288425,8,5.967082
-12.503663,8,6.121404
-20.0,1,6.144736
-20.0,1,6.165184
-13.860258,9,6.337139
-3.926297,14,6.609217
-20.0,1,6.636035
-9.334978,11,6.851392
-20.0,1,6.877823
-9.310522,11,7.110692
-20.0,1,7.1345
-8.196657,12,7.39799
-14.648671,6,7.520516
-20.0,1,7.540594
-15.824104,5,7.644419
-17.328867,4,7.718678
-11.492541,8,7.873756
-11.786507,8,8.038241
-20.0,1,8.059543
-8.019415,13,8.309829
-8.318139,13,8.554227
-10.616988,11,8.766873
1.609282,23,9.242526
-20.0,1,9.263694
-7.693564,13,9.514555
-12.827228,8,9.666926
-5.549999,14,9.945033
-13.254534,9,10.131072
-20.0,1,10.1756858.555671,27,10.542861
-12.40868,9,10.71305
-12.10.417456,29,11.580569
-20.0,1,11.603766
-11.676323,10,11.812064
-20.0,1,11.836141
1.098281,22,12.600587
-15.110667,6,12.711097
-20.0,1,12.731049
-8.088584,15,13.034836
-5.523455,15,13.340176
-12.209308,8,13.49431
-3.897894,18,13.877793
-3.553802,18,14.2602
-4.133757,16,14.580568
121.586586,101,16.519981
17.664096,37,17.173207
-6.288028,12,17.396586
-9.5744,10,17.571864
-20.0,1,17.591068
15.196228,30,18.161423
-2.563783,15,18.431765
14.402825,30,19.012949
50.079888,58,20.191902
-5.16433,12,20.419469
-20.0,1,20.439727
1.151889,18,20.758947
-9.199608,10,20.94725
-10.287586,10,21.132792
-12.222459,7,21.266257
19.196184,34,21.880784
48.857345,55,22.875048
45.390082,52,23.918787
-20.0,1,23.939795
36.667131,46,24.772302
48.059554,55,25.807035
101.648112,94,27.493352
-17.338568,3,27.548512
65.782349,66,28.735768
-13.629529,6,28.861773
-20.0,1,28.887655
-8.411401,10,29.083918
-13.143287,7,29.223225
19.351134,31,29.815645
-4.597352,13,30.105225
-2.778283,16,30.417354
17.76756,31,30.97926
-9.904611,10,31.167519
-20.0,1,31.18802
-9.149925,12,31.426126
-20.0,1,31.449314
16.96173,33,32.091812
-20.0,1,32.113547
-4.637568,14,32.386581
-20.0,1,32.408622
-20.0,1,32.430733
30.842797,39,33.159856
-5.436968,13,33.393792
22.870857,36,34.052062
-20.0,1,34.071568
-20.0,1,34.091723
-3.184635,15,34.361686
21.988334,36,35.049708
35.345174,43,35.842158
129.070349,101,37.622888
13.645274,28,38.125684
3.782985,19,38.465079
14.289819,30,38.98602
-16.325547,4,39.06596
-20.0,1,39.086878
-20.0,1,39.10666
6.559421,23,39.522921
-20.0,1,39.543266
-20.0,1,39.563292
-20.0,1,39.583211
-6.713512,12,39.803396
0.165532,18,40.14023
-20.0,1,40.160119
101.0674,94,41.8743
3.952939,20,42.234023
-20.0,1,42.254894
47.450303,52,43.174176
-5.914102,12,43.384715
3.590895,21,43.755775
6.874593,24,44.204883
-20.0,1,44.225748
