timesteps,env_idx,episode_reward,episode_length
16,0,-17.232814,4
16,2,-17.565706,4
28,1,-12.638015,7
28,3,-13.685577,7
44,1,-17.709582,4
44,3,-17.050274,4
68,1,-14.386215,6
68,2,-6.10087,13
76,3,-12.312589,8
80,0,-2.358514,16
96,0,-17.251102,4
100,1,-12.320891,8
100,2,-11.823836,8
104,3,-14.427554,7
116,1,-16.795974,4
116,2,-17.294117,4
132,3,-13.467909,7
140,2,-15.652996,6
144,1,-15.002595,7
156,0,-7.754646,15
160,2,-16.155528,5
164,3,-12.164008,8
172,0,-17.342366,4
176,2,-17.429795,4
180,1,-12.365207,9
184,3,-15.790245,5
192,2,-17.735643,4
196,1,-17.302319,4
204,0,-11.934606,8
204,2,-18.094869,3
204,3,-16.004596,5
212,1,-17.365046,4
224,3,-16.415847,5
228,1,-17.731596,4
232,0,-14.011612,7
244,3,-15.94503,5
276,2,-1.661395,18
284,1,-5.606865,14
292,3,-9.627602,12
300,0,-6.884437,17
300,2,-15.988428,6
308,3,-17.626995,4
316,2,-17.574464,4
320,1,-14.147149,9
332,0,-12.742023,8
336,2,-16.644881,5
336,3,-13.44216,7
352,1,-12.145724,8
356,3,-16.057902,5
368,0,-11.714588,9
372,3,-17.02007,4
376,1,-15.091034,6
380,2,-11.267408,11
388,0,-15.569766,5
392,1,-17.029833,4
392,3,-16.233813,5
396,2,-17.011168,4
408,0,-16.011235,5
416,1,-14.791428,6
424,2,-13.475487,7
424,3,-11.78895,8
428,0,-16.233741,5
452,1,-13.20304,9
456,0,-13.244176,7
464,3,-10.249531,10
468,1,-17.267246,4
468,2,-7.753985,11
472,0,-17.179119,4
484,1,-17.100478,4
488,3,-14.897756,6
500,0,-13.803811,7
500,1,-17.161535,4
500,2,-12.208674,8
504,3,-17.526547,4
516,0,-17.645556,4
520,3,-17.442407,4
532,0,-17.078347,4
540,1,-10.96068,10
540,3,-16.241774,5
552,2,-6.978793,13
556,3,-16.921283,4
564,0,-13.575624,8
564,1,-14.730439,6
576,3,-16.532853,5
580,0,-17.098259,4
584,2,-11.886612,8
592,3,-16.641418,4
604,2,-16.073414,5
612,3,-16.331607,5
616,1,-7.351432,13
624,2,-16.442757,5
628,1,-18.063709,3
644,2,-16.442386,5
644,3,-13.606019,8
664,0,-1.157459,21
668,2,-14.739104,6
676,3,-13.048259,8
696,0,-12.37996,8
696,2,-14.742704,7
700,3,-14.744546,6
712,2,-17.205236,4
716,1,-1.208382,22
724,0,-13.851432,7
740,3,-10.066945,10
744,2,-11.563233,8
760,2,-17.247376,4
768,3,-13.967853,7
780,1,-4.346935,16
784,2,-15.06194,6
824,3,-4.801565,14
828,2,-9.44953,11
844,2,-17.683497,4
872,1,1.071343,23
872,2,-14.657496,7
888,1,-17.476405,4
896,3,1.19856,18
912,3,-16.919926,4
928,1,-10.815693,10
940,2,-3.933115,17
944,1,-17.782862,4
976,2,-11.952178,9
980,0,45.020192,64
984,3,-3.691364,18
996,0,-17.500725,4
1000,3,-17.15465,4
1012,2,-13.11283,9
1016,3,-16.971028,4
1028,2,-17.241255,4
1032,3,-16.743618,4
1040,1,1.167435,24
1052,0,-8.799011,14
1076,3,-12.981173,11
1084,2,-8.574506,14
1100,1,-5.851026,15
1104,3,-13.692611,7
1124,2,-9.577889,10
1136,0,-1.427003,21
1168,2,-11.163305,11
